#ndep: 2897
#depth (km)      Eta_arithmetic          Eta_geometric
    -5.0           1.0000E+00              1.0000E+00
    -4.0           1.0000E+00              1.0000E+00
    -3.0           1.0000E+00              1.0000E+00
    -2.0           1.0000E+00              1.0000E+00
    -1.0           9.9998E-01              9.9998E-01
    -0.0           9.9999E-01              9.9999E-01
     1.0           9.9999E-01              9.9999E-01
     2.0           1.0000E+00              1.0000E+00
     3.0           1.0000E+00              1.0000E+00
     4.0           1.0000E+00              1.0000E+00
     5.0           1.0000E+00              1.0000E+00
     6.0           1.0000E+00              1.0000E+00
     7.0           1.0000E+00              1.0000E+00
     8.0           1.0000E+00              1.0000E+00
     9.0           9.9984E-01              9.9983E-01
    10.0           9.9638E-01              9.9622E-01
    11.0           9.8528E-01              9.8471E-01
    12.0           9.7009E-01              9.6918E-01
    13.0           9.6250E-01              9.6150E-01
    14.0           9.5964E-01              9.5863E-01
    15.0           9.5820E-01              9.5719E-01
    16.0           9.5700E-01              9.5599E-01
    17.0           9.5619E-01              9.5517E-01
    18.0           9.5553E-01              9.5451E-01
    19.0           9.5487E-01              9.5386E-01
    20.0           9.5420E-01              9.5318E-01
    21.0           9.5347E-01              9.5244E-01
    22.0           9.5265E-01              9.5162E-01
    23.0           9.5172E-01              9.5070E-01
    24.0           9.5067E-01              9.4966E-01
    25.0           9.4950E-01              9.4851E-01
    26.0           9.4822E-01              9.4726E-01
    27.0           9.4685E-01              9.4591E-01
    28.0           9.4539E-01              9.4447E-01
    29.0           9.4389E-01              9.4298E-01
    30.0           9.4236E-01              9.4147E-01
    31.0           9.4085E-01              9.3996E-01
    32.0           9.3938E-01              9.3849E-01
    33.0           9.3804E-01              9.3717E-01
    34.0           9.3667E-01              9.3583E-01
    35.0           9.3138E-01              9.3066E-01
    36.0           9.2810E-01              9.2748E-01
    37.0           9.2530E-01              9.2476E-01
    38.0           9.2347E-01              9.2299E-01
    39.0           9.2158E-01              9.2116E-01
    40.0           9.1983E-01              9.1948E-01
    41.0           9.1737E-01              9.1711E-01
    42.0           9.1553E-01              9.1535E-01
    43.0           9.1447E-01              9.1433E-01
    44.0           9.1399E-01              9.1386E-01
    45.0           9.1339E-01              9.1329E-01
    46.0           9.1270E-01              9.1264E-01
    47.0           9.1244E-01              9.1239E-01
    48.0           9.1224E-01              9.1219E-01
    49.0           9.1202E-01              9.1198E-01
    50.0           9.1182E-01              9.1179E-01
    51.0           9.1176E-01              9.1173E-01
    52.0           9.1172E-01              9.1170E-01
    53.0           9.1168E-01              9.1166E-01
    54.0           9.1166E-01              9.1164E-01
    55.0           9.1165E-01              9.1163E-01
    56.0           9.1164E-01              9.1162E-01
    57.0           9.1162E-01              9.1160E-01
    58.0           9.1160E-01              9.1159E-01
    59.0           9.1159E-01              9.1158E-01
    60.0           9.1159E-01              9.1158E-01
    61.0           9.1159E-01              9.1158E-01
    62.0           9.1159E-01              9.1158E-01
    63.0           9.1160E-01              9.1159E-01
    64.0           9.1162E-01              9.1162E-01
    65.0           9.1165E-01              9.1164E-01
    66.0           9.1168E-01              9.1167E-01
