#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
    -5.0           2.6756E+00              2.6740E+00
    -4.0           2.7684E+00              2.7674E+00
    -3.0           2.7531E+00              2.7514E+00
    -2.0           2.7217E+00              2.7177E+00
    -1.0           2.6145E+00              2.6034E+00
    -0.0           2.5930E+00              2.5819E+00
     1.0           2.6217E+00              2.6136E+00
     2.0           2.6362E+00              2.6296E+00
     3.0           2.6318E+00              2.6261E+00
     4.0           2.6299E+00              2.6254E+00
     5.0           2.6460E+00              2.6423E+00
     6.0           2.6900E+00              2.6871E+00
     7.0           2.7564E+00              2.7541E+00
     8.0           2.8234E+00              2.8210E+00
     9.0           2.8743E+00              2.8713E+00
    10.0           2.9134E+00              2.9094E+00
    11.0           2.9587E+00              2.9529E+00
    12.0           3.0099E+00              3.0022E+00
    13.0           3.0400E+00              3.0319E+00
    14.0           3.0562E+00              3.0484E+00
    15.0           3.0673E+00              3.0599E+00
    16.0           3.0753E+00              3.0681E+00
    17.0           3.0829E+00              3.0760E+00
    18.0           3.0910E+00              3.0844E+00
    19.0           3.0999E+00              3.0937E+00
    20.0           3.1091E+00              3.1032E+00
    21.0           3.1183E+00              3.1127E+00
    22.0           3.1274E+00              3.1222E+00
    23.0           3.1363E+00              3.1314E+00
    24.0           3.1450E+00              3.1403E+00
    25.0           3.1532E+00              3.1488E+00
    26.0           3.1610E+00              3.1568E+00
    27.0           3.1683E+00              3.1642E+00
    28.0           3.1751E+00              3.1712E+00
    29.0           3.1814E+00              3.1777E+00
    30.0           3.1873E+00              3.1837E+00
    31.0           3.1931E+00              3.1896E+00
    32.0           3.1986E+00              3.1953E+00
    33.0           3.2039E+00              3.2007E+00
    34.0           3.2098E+00              3.2068E+00
    35.0           3.2311E+00              3.2288E+00
    36.0           3.2440E+00              3.2421E+00
    37.0           3.2546E+00              3.2531E+00
    38.0           3.2618E+00              3.2606E+00
    39.0           3.2688E+00              3.2678E+00
    40.0           3.2746E+00              3.2739E+00
    41.0           3.2813E+00              3.2808E+00
    42.0           3.2863E+00              3.2859E+00
    43.0           3.2893E+00              3.2891E+00
    44.0           3.2911E+00              3.2908E+00
    45.0           3.2931E+00              3.2929E+00
    46.0           3.2952E+00              3.2951E+00
    47.0           3.2963E+00              3.2962E+00
    48.0           3.2973E+00              3.2972E+00
    49.0           3.2983E+00              3.2982E+00
    50.0           3.2993E+00              3.2992E+00
    51.0           3.2999E+00              3.2999E+00
    52.0           3.3005E+00              3.3005E+00
    53.0           3.3011E+00              3.3011E+00
    54.0           3.3017E+00              3.3016E+00
    55.0           3.3023E+00              3.3022E+00
    56.0           3.3029E+00              3.3028E+00
    57.0           3.3035E+00              3.3034E+00
    58.0           3.3041E+00              3.3041E+00
    59.0           3.3047E+00              3.3047E+00
    60.0           3.3053E+00              3.3053E+00
    61.0           3.3060E+00              3.3059E+00
    62.0           3.3066E+00              3.3066E+00
    63.0           3.3072E+00              3.3072E+00
    64.0           3.3078E+00              3.3078E+00
    65.0           3.3084E+00              3.3084E+00
    66.0           3.3091E+00              3.3091E+00
    67.0           3.3097E+00              3.3097E+00
    68.0           3.3103E+00              3.3103E+00
    69.0           3.3109E+00              3.3109E+00
    70.0           3.3116E+00              3.3116E+00
    71.0           3.3122E+00              3.3122E+00
    72.0           3.3129E+00              3.3129E+00
    73.0           3.3136E+00              3.3135E+00
    74.0           3.3142E+00              3.3142E+00
    75.0           3.3148E+00              3.3148E+00
    76.0           3.3155E+00              3.3155E+00
    77.0           3.3161E+00              3.3161E+00
    78.0           3.3168E+00              3.3168E+00
    79.0           3.3175E+00              3.3175E+00
    80.0           3.3181E+00              3.3181E+00
    81.0           3.3225E+00              3.3224E+00
    82.0           3.3229E+00              3.3229E+00
    83.0           3.3233E+00              3.3233E+00
    84.0           3.3237E+00              3.3237E+00
    85.0           3.3242E+00              3.3242E+00
    86.0           3.3246E+00              3.3246E+00
    87.0           3.3251E+00              3.3251E+00
    88.0           3.3256E+00              3.3256E+00
    89.0           3.3261E+00              3.3261E+00
    90.0           3.3267E+00              3.3266E+00
    91.0           3.3272E+00              3.3272E+00
    92.0           3.3278E+00              3.3277E+00
    93.0           3.3283E+00              3.3283E+00
    94.0           3.3289E+00              3.3289E+00
    95.0           3.3295E+00              3.3295E+00
    96.0           3.3301E+00              3.3301E+00
    97.0           3.3307E+00              3.3307E+00
    98.0           3.3314E+00              3.3314E+00
    99.0           3.3320E+00              3.3320E+00
   100.0           3.3327E+00              3.3327E+00
   101.0           3.3333E+00              3.3333E+00
   102.0           3.3340E+00              3.3340E+00
   103.0           3.3347E+00              3.3347E+00
   104.0           3.3354E+00              3.3354E+00
   105.0           3.3361E+00              3.3361E+00
   106.0           3.3369E+00              3.3369E+00
   107.0           3.3376E+00              3.3376E+00
   108.0           3.3384E+00              3.3384E+00
   109.0           3.3391E+00              3.3391E+00
   110.0           3.3399E+00              3.3399E+00
   111.0           3.3407E+00              3.3407E+00
   112.0           3.3415E+00              3.3415E+00
   113.0           3.3423E+00              3.3423E+00
   114.0           3.3431E+00              3.3431E+00
   115.0           3.3439E+00              3.3439E+00
   116.0           3.3447E+00              3.3447E+00
   117.0           3.3455E+00              3.3455E+00
   118.0           3.3464E+00              3.3464E+00
   119.0           3.3472E+00              3.3472E+00
   120.0           3.3481E+00              3.3481E+00
   121.0           3.3490E+00              3.3490E+00
   122.0           3.3498E+00              3.3498E+00
   123.0           3.3507E+00              3.3507E+00
   124.0           3.3516E+00              3.3516E+00
   125.0           3.3525E+00              3.3525E+00
   126.0           3.3534E+00              3.3534E+00
   127.0           3.3543E+00              3.3543E+00
   128.0           3.3552E+00              3.3552E+00
   129.0           3.3561E+00              3.3561E+00
   130.0           3.3571E+00              3.3570E+00
   131.0           3.3580E+00              3.3580E+00
   132.0           3.3589E+00              3.3589E+00
   133.0           3.3599E+00              3.3598E+00
   134.0           3.3608E+00              3.3608E+00
   135.0           3.3617E+00              3.3617E+00
   136.0           3.3627E+00              3.3627E+00
   137.0           3.3636E+00              3.3636E+00
   138.0           3.3646E+00              3.3646E+00
   139.0           3.3656E+00              3.3656E+00
   140.0           3.3665E+00              3.3665E+00
   141.0           3.3675E+00              3.3675E+00
   142.0           3.3685E+00              3.3685E+00
   143.0           3.3695E+00              3.3694E+00
   144.0           3.3704E+00              3.3704E+00
   145.0           3.3714E+00              3.3714E+00
   146.0           3.3724E+00              3.3724E+00
   147.0           3.3734E+00              3.3734E+00
   148.0           3.3744E+00              3.3744E+00
   149.0           3.3753E+00              3.3753E+00
   150.0           3.3763E+00              3.3763E+00
   151.0           3.3773E+00              3.3773E+00
   152.0           3.3783E+00              3.3783E+00
   153.0           3.3793E+00              3.3793E+00
   154.0           3.3803E+00              3.3803E+00
   155.0           3.3813E+00              3.3813E+00
   156.0           3.3823E+00              3.3823E+00
   157.0           3.3832E+00              3.3832E+00
   158.0           3.3842E+00              3.3842E+00
   159.0           3.3852E+00              3.3852E+00
   160.0           3.3862E+00              3.3862E+00
   161.0           3.3872E+00              3.3872E+00
   162.0           3.3882E+00              3.3882E+00
   163.0           3.3892E+00              3.3891E+00
   164.0           3.3901E+00              3.3901E+00
   165.0           3.3911E+00              3.3911E+00
   166.0           3.3921E+00              3.3921E+00
   167.0           3.3930E+00              3.3930E+00
   168.0           3.3940E+00              3.3940E+00
   169.0           3.3950E+00              3.3950E+00
   170.0           3.3959E+00              3.3959E+00
   171.0           3.3969E+00              3.3969E+00
   172.0           3.3979E+00              3.3978E+00
   173.0           3.3988E+00              3.3988E+00
   174.0           3.3997E+00              3.3997E+00
   175.0           3.4007E+00              3.4007E+00
   176.0           3.4016E+00              3.4016E+00
   177.0           3.4025E+00              3.4025E+00
   178.0           3.4035E+00              3.4035E+00
   179.0           3.4044E+00              3.4044E+00
   180.0           3.4053E+00              3.4053E+00
   181.0           3.4062E+00              3.4062E+00
   182.0           3.4071E+00              3.4071E+00
   183.0           3.4080E+00              3.4080E+00
   184.0           3.4089E+00              3.4089E+00
   185.0           3.4098E+00              3.4098E+00
   186.0           3.4107E+00              3.4107E+00
   187.0           3.4115E+00              3.4115E+00
   188.0           3.4124E+00              3.4124E+00
   189.0           3.4132E+00              3.4132E+00
   190.0           3.4141E+00              3.4141E+00
   191.0           3.4149E+00              3.4149E+00
   192.0           3.4158E+00              3.4158E+00
   193.0           3.4166E+00              3.4166E+00
   194.0           3.4174E+00              3.4174E+00
   195.0           3.4182E+00              3.4182E+00
   196.0           3.4191E+00              3.4190E+00
   197.0           3.4199E+00              3.4199E+00
   198.0           3.4207E+00              3.4207E+00
   199.0           3.4214E+00              3.4214E+00
   200.0           3.4222E+00              3.4222E+00
   201.0           3.4230E+00              3.4230E+00
   202.0           3.4238E+00              3.4238E+00
   203.0           3.4246E+00              3.4246E+00
   204.0           3.4253E+00              3.4253E+00
   205.0           3.4261E+00              3.4261E+00
   206.0           3.4268E+00              3.4268E+00
   207.0           3.4276E+00              3.4276E+00
   208.0           3.4283E+00              3.4283E+00
   209.0           3.4291E+00              3.4291E+00
   210.0           3.4298E+00              3.4298E+00
   211.0           3.4305E+00              3.4305E+00
   212.0           3.4313E+00              3.4313E+00
   213.0           3.4320E+00              3.4320E+00
   214.0           3.4327E+00              3.4327E+00
   215.0           3.4334E+00              3.4334E+00
   216.0           3.4341E+00              3.4341E+00
   217.0           3.4348E+00              3.4348E+00
   218.0           3.4355E+00              3.4355E+00
   219.0           3.4362E+00              3.4362E+00
   220.0           3.4369E+00              3.4369E+00
   221.0           3.4376E+00              3.4376E+00
   222.0           3.4382E+00              3.4382E+00
   223.0           3.4389E+00              3.4389E+00
   224.0           3.4396E+00              3.4396E+00
   225.0           3.4403E+00              3.4403E+00
   226.0           3.4409E+00              3.4409E+00
   227.0           3.4416E+00              3.4416E+00
   228.0           3.4422E+00              3.4422E+00
   229.0           3.4429E+00              3.4429E+00
   230.0           3.4436E+00              3.4436E+00
   231.0           3.4442E+00              3.4442E+00
