#ndep: 2897
#depth (km)   Vpv_arithmetic (km/s)   Vpv_geometric (km/s)
    -5.0           5.8069E+00              5.7834E+00
    -4.0           6.0910E+00              6.0806E+00
    -3.0           6.0133E+00              5.9917E+00
    -2.0           5.8554E+00              5.7929E+00
    -1.0           5.2435E+00              5.0363E+00
    -0.0           5.0884E+00              4.8580E+00
     1.0           5.2318E+00              5.0477E+00
     2.0           5.3023E+00              5.1433E+00
     3.0           5.2595E+00              5.1216E+00
     4.0           5.2416E+00              5.1325E+00
     5.0           5.3397E+00              5.2553E+00
     6.0           5.5964E+00              5.5396E+00
     7.0           5.9570E+00              5.9247E+00
     8.0           6.2876E+00              6.2649E+00
     9.0           6.5011E+00              6.4789E+00
    10.0           6.6272E+00              6.6033E+00
    11.0           6.7672E+00              6.7369E+00
    12.0           6.9560E+00              6.9156E+00
    13.0           7.0688E+00              7.0264E+00
    14.0           7.1264E+00              7.0858E+00
    15.0           7.1647E+00              7.1264E+00
    16.0           7.1929E+00              7.1562E+00
    17.0           7.2187E+00              7.1835E+00
    18.0           7.2455E+00              7.2121E+00
    19.0           7.2747E+00              7.2433E+00
    20.0           7.3044E+00              7.2749E+00
    21.0           7.3337E+00              7.3061E+00
    22.0           7.3627E+00              7.3368E+00
    23.0           7.3909E+00              7.3666E+00
    24.0           7.4179E+00              7.3951E+00
    25.0           7.4436E+00              7.4221E+00
    26.0           7.4677E+00              7.4473E+00
    27.0           7.4901E+00              7.4708E+00
    28.0           7.5109E+00              7.4924E+00
    29.0           7.5300E+00              7.5123E+00
    30.0           7.5476E+00              7.5306E+00
    31.0           7.5629E+00              7.5466E+00
    32.0           7.5762E+00              7.5607E+00
    33.0           7.5899E+00              7.5754E+00
    34.0           7.6085E+00              7.5951E+00
    35.0           7.6788E+00              7.6679E+00
    36.0           7.7209E+00              7.7120E+00
    37.0           7.7555E+00              7.7483E+00
    38.0           7.7787E+00              7.7727E+00
    39.0           7.8009E+00              7.7960E+00
    40.0           7.8192E+00              7.8151E+00
    41.0           7.8398E+00              7.8366E+00
    42.0           7.8543E+00              7.8517E+00
    43.0           7.8621E+00              7.8599E+00
    44.0           7.8652E+00              7.8631E+00
    45.0           7.8690E+00              7.8672E+00
    46.0           7.8735E+00              7.8719E+00
    47.0           7.8746E+00              7.8731E+00
    48.0           7.8749E+00              7.8735E+00
    49.0           7.8753E+00              7.8739E+00
    50.0           7.8756E+00              7.8743E+00
    51.0           7.8747E+00              7.8734E+00
    52.0           7.8737E+00              7.8725E+00
    53.0           7.8728E+00              7.8716E+00
    54.0           7.8718E+00              7.8706E+00
    55.0           7.8708E+00              7.8696E+00
    56.0           7.8698E+00              7.8686E+00
    57.0           7.8689E+00              7.8678E+00
    58.0           7.8681E+00              7.8669E+00
    59.0           7.8673E+00              7.8661E+00
    60.0           7.8665E+00              7.8653E+00
    61.0           7.8657E+00              7.8645E+00
    62.0           7.8650E+00              7.8639E+00
    63.0           7.8643E+00              7.8631E+00
    64.0           7.8635E+00              7.8624E+00
    65.0           7.8627E+00              7.8616E+00
    66.0           7.8620E+00              7.8609E+00
    67.0           7.8613E+00              7.8603E+00
    68.0           7.8606E+00              7.8595E+00
    69.0           7.8599E+00              7.8588E+00
    70.0           7.8592E+00              7.8582E+00
    71.0           7.8586E+00              7.8575E+00
    72.0           7.8581E+00              7.8571E+00
    73.0           7.8574E+00              7.8564E+00
    74.0           7.8568E+00              7.8557E+00
    75.0           7.8561E+00              7.8551E+00
    76.0           7.8555E+00              7.8545E+00
    77.0           7.8549E+00              7.8539E+00
    78.0           7.8544E+00              7.8533E+00
    79.0           7.8538E+00              7.8528E+00
    80.0           7.8533E+00              7.8523E+00
    81.0           7.8695E+00              7.8685E+00
