#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
    -5.0           3.3540E+00              3.3363E+00
    -4.0           3.5245E+00              3.5168E+00
    -3.0           3.4718E+00              3.4554E+00
    -2.0           3.3672E+00              3.3192E+00
    -1.0           2.9743E+00              2.8178E+00
    -0.0           2.8707E+00              2.6982E+00
     1.0           2.9507E+00              2.8112E+00
     2.0           2.9670E+00              2.8413E+00
     3.0           2.8896E+00              2.7750E+00
     4.0           2.8344E+00              2.7378E+00
     5.0           2.8834E+00              2.8042E+00
     6.0           3.0582E+00              3.0029E+00
     7.0           3.3055E+00              3.2763E+00
     8.0           3.5232E+00              3.5075E+00
     9.0           3.6497E+00              3.6376E+00
    10.0           3.7153E+00              3.7036E+00
    11.0           3.8019E+00              3.7859E+00
    12.0           3.9331E+00              3.9098E+00
    13.0           4.0092E+00              3.9842E+00
    14.0           4.0447E+00              4.0203E+00
    15.0           4.0665E+00              4.0429E+00
    16.0           4.0825E+00              4.0595E+00
    17.0           4.0962E+00              4.0736E+00
    18.0           4.1103E+00              4.0884E+00
    19.0           4.1261E+00              4.1050E+00
    20.0           4.1425E+00              4.1221E+00
    21.0           4.1590E+00              4.1395E+00
    22.0           4.1758E+00              4.1571E+00
    23.0           4.1925E+00              4.1747E+00
    24.0           4.2091E+00              4.1921E+00
    25.0           4.2254E+00              4.2092E+00
    26.0           4.2413E+00              4.2259E+00
    27.0           4.2567E+00              4.2418E+00
    28.0           4.2715E+00              4.2571E+00
    29.0           4.2857E+00              4.2716E+00
    30.0           4.2992E+00              4.2853E+00
    31.0           4.3122E+00              4.2984E+00
    32.0           4.3242E+00              4.3108E+00
    33.0           4.3357E+00              4.3227E+00
    34.0           4.3491E+00              4.3367E+00
    35.0           4.3995E+00              4.3890E+00
    36.0           4.4310E+00              4.4219E+00
    37.0           4.4574E+00              4.4496E+00
    38.0           4.4755E+00              4.4685E+00
    39.0           4.4936E+00              4.4875E+00
    40.0           4.5096E+00              4.5042E+00
    41.0           4.5289E+00              4.5245E+00
    42.0           4.5430E+00              4.5393E+00
    43.0           4.5511E+00              4.5479E+00
    44.0           4.5552E+00              4.5521E+00
    45.0           4.5600E+00              4.5572E+00
    46.0           4.5657E+00              4.5632E+00
    47.0           4.5682E+00              4.5658E+00
    48.0           4.5702E+00              4.5679E+00
    49.0           4.5721E+00              4.5699E+00
    50.0           4.5739E+00              4.5718E+00
    51.0           4.5748E+00              4.5728E+00
    52.0           4.5756E+00              4.5735E+00
    53.0           4.5764E+00              4.5743E+00
    54.0           4.5770E+00              4.5750E+00
    55.0           4.5777E+00              4.5757E+00
    56.0           4.5783E+00              4.5764E+00
    57.0           4.5791E+00              4.5771E+00
    58.0           4.5798E+00              4.5779E+00
    59.0           4.5805E+00              4.5786E+00
    60.0           4.5811E+00              4.5793E+00
    61.0           4.5818E+00              4.5799E+00
    62.0           4.5825E+00              4.5807E+00
    63.0           4.5832E+00              4.5814E+00
    64.0           4.5837E+00              4.5820E+00
    65.0           4.5843E+00              4.5825E+00
    66.0           4.5849E+00              4.5831E+00
    67.0           4.5855E+00              4.5837E+00
    68.0           4.5859E+00              4.5842E+00
    69.0           4.5865E+00              4.5847E+00
    70.0           4.5869E+00              4.5852E+00
    71.0           4.5874E+00              4.5857E+00
    72.0           4.5880E+00              4.5864E+00
    73.0           4.5885E+00              4.5868E+00
    74.0           4.5888E+00              4.5872E+00
    75.0           4.5892E+00              4.5875E+00
    76.0           4.5896E+00              4.5879E+00
    77.0           4.5899E+00              4.5882E+00
    78.0           4.5903E+00              4.5886E+00
    79.0           4.5906E+00              4.5889E+00
    80.0           4.5909E+00              4.5892E+00
    81.0           4.5907E+00              4.5891E+00
    82.0           4.5912E+00              4.5896E+00
    83.0           4.5917E+00              4.5901E+00
    84.0           4.5922E+00              4.5906E+00
    85.0           4.5927E+00              4.5910E+00
    86.0           4.5931E+00              4.5915E+00
    87.0           4.5935E+00              4.5919E+00
    88.0           4.5939E+00              4.5922E+00
    89.0           4.5942E+00              4.5926E+00
    90.0           4.5945E+00              4.5929E+00
    91.0           4.5948E+00              4.5932E+00
    92.0           4.5951E+00              4.5934E+00
    93.0           4.5953E+00              4.5937E+00
    94.0           4.5955E+00              4.5939E+00
    95.0           4.5957E+00              4.5941E+00
    96.0           4.5959E+00              4.5942E+00
    97.0           4.5961E+00              4.5944E+00
    98.0           4.5962E+00              4.5945E+00
